Handle,Title,Vendor,Size,Color,img_src,Price,tag1,tag2,tag3
walkoutwear-streight-fit-premium-cargo,Walkoutwear Streight Fit Premium Cargo,WALKOUTWEAR,M,Green,,2899,cargo,New Arrival,
walkoutwear-streight-fit-premium-cargo,,,M,Grey,,2899,cargo,New Arrival,
walkoutwear-streight-fit-premium-cargo,,,L,Green,,2899,cargo,New Arrival,
walkoutwear-streight-fit-premium-cargo,,,L,Grey,,2899,cargo,New Arrival,
walkoutwear-streight-fit-premium-cargo,,,XL,Green,,2899,cargo,New Arrival,
walkoutwear-streight-fit-premium-cargo,,,XL,Grey,,2899,cargo,New Arrival,
walkoutwear-streight-fit-premium-cargo,,,XXL,Green,,2899,cargo,New Arrival,
walkoutwear-streight-fit-premium-cargo,,,XXL,Grey,,2899,cargo,New Arrival,
walkoutwear-premium-in-contrast-convertible-cargo,Walkoutwear Premium In Contrast Convertible Cargo,WALKOUTWEAR,M,Green,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/1674018169061.jpg?v=1683609728,2899,cargo,New Arrival,
walkoutwear-premium-in-contrast-convertible-cargo,,,M,Grey,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/1674018169078.jpg?v=1683609728,2899,cargo,New Arrival,
walkoutwear-premium-in-contrast-convertible-cargo,,,M,Dark Grey,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/1672232094348.jpg?v=1683609728,2899,cargo,New Arrival,
walkoutwear-premium-in-contrast-convertible-cargo,,,L,Green,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/1672232094362.jpg?v=1683609728,2899,cargo,New Arrival,
walkoutwear-premium-in-contrast-convertible-cargo,,,L,Grey,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/1672232094382.jpg?v=1683609728,2899,cargo,New Arrival,
walkoutwear-premium-in-contrast-convertible-cargo,,,L,Dark Grey,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/1672232094396.jpg?v=1683609728,2899,cargo,New Arrival,
walkoutwear-premium-in-contrast-convertible-cargo,,,XL,Green,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/1674018169095.jpg?v=1683609728,2899,cargo,New Arrival,
walkoutwear-premium-in-contrast-convertible-cargo,,,XL,Grey,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/1674018169069.jpg?v=1683609728,2899,cargo,New Arrival,
walkoutwear-premium-in-contrast-convertible-cargo,,,XL,Dark Grey,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/1674018169085.jpg?v=1683609728,2899,cargo,New Arrival,
walkoutwear-premium-in-contrast-convertible-cargo,,,XXL,Green,,2899,cargo,New Arrival,
walkoutwear-premium-in-contrast-convertible-cargo,,,XXL,Grey,,2899,cargo,New Arrival,
walkoutwear-premium-in-contrast-convertible-cargo,,,XXL,Dark Grey,,2899,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,Walkoutwear Premium Baggy Style 6 Pocket Cargo,WALKOUTWEAR,M,Sky-Blue,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/IMG_3496.jpg?v=1683609186,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,M,Grey,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/IMG_3498.jpg?v=1683609186,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,M,Light-Grey,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/IMG_3500.jpg?v=1683609186,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,M,Camel,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/IMG_3502.jpg?v=1683609186,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,L,Sky-Blue,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/IMG_3495.jpg?v=1683609153,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,L,Grey,https://cdn.shopify.com/s/files/1/0581/4350/6626/files/IMG_3499.jpg?v=1683609153,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,L,Light-Grey,,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,L,Camel,,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,XL,Sky-Blue,,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,XL,Grey,,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,XL,Light-Grey,,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,XL,Camel,,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,XXL,Sky-Blue,,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,XXL,Grey,,2499,cargo,New Arrival,
walkoutwear-premium-baggy-style-6-pocket-cargo,,,XXL,Light-Grey,,2499,cargo,New Arrival,
